"Curve Label"	"Curve Conductor"	"Level"	"Norm"	"Discriminant"	"Newform"	"Polynomial"
"11a1"	11	88	2	17	"(0, -a1, a1 + 2, 2*a1, -1, -2*a1 - 2)"	"x^2 + x - 4"
"14a1"	14	88	2	17	"(0, -a1, a1 + 2, 2*a1, -1, -2*a1 - 2)"	"x^2 + x - 4"
"89a1"	89	89	2	535120	"(a2, -1/2*a2^4 + 1/2*a2^3 + 7/2*a2^2 - 5/2*a2 - 4, -a2^2 + 4, 1/2*a2^4 - 4*a2^2 - a2 + 13/2, -a2^3 + 5*a2 + 2, -a2^4 + a2^3 + 8*a2^2 - 5*a2 - 11)"	"x^5 + x^4 - 10*x^3 - 10*x^2 + 21*x + 17"
"14a1"	14	91	2	316	"(a3, -a3^2 + a3 + 2, -a3 + 1, -1, a3^2 - a3 - 2, 1)"	"x^3 - x^2 - 4*x + 2"
"91a1"	91	91	2	316	"(a3, -a3^2 + a3 + 2, -a3 + 1, -1, a3^2 - a3 - 2, 1)"	"x^3 - x^2 - 4*x + 2"
"91a1"	91	91	2	8	"(a2, -a2, a2 + 3, 1, -3*a2, -1)"	"x^2 - 2"
"14a1"	14	93	2	229	"(a1, 1, -a1^2 - a1 + 2, -a1^2 - a1 + 4, 2*a1^2 - 6, 2*a1^2 - 4)"	"x^3 - 4*x + 1"
"14a1"	14	94	2	8	"(-1, a1 + 1, -1/2*a1 + 3/2, -a1 - 3, -1/2*a1 + 7/2, -1/2*a1 - 5/2)"	"x^2 + 2*x - 7"
"14a1"	14	95	2	148	"(a0, -a0^2 + 3, 1, 2*a0^2 - 2*a0 - 4, -2*a0 - 2, a0^2 - 2*a0 + 1)"	"x^3 - x^2 - 3*x + 1"
"14a1"	14	95	2	11344	"(a1, -a1^3 + 5*a1 - 2, -1, -2*a1^2 - 2*a1 + 8, 2*a1^2 + 2*a1 - 6, a1^3 + 2*a1^2 - 3*a1 - 4)"	"x^4 + 2*x^3 - 6*x^2 - 8*x + 9"
"14a1"	14	97	2	2777	"(a1, -a1^2 + a1 + 2, -a1 + 1, a1^3 - a1^2 - 4*a1 + 2, -2*a1^3 + 4*a1^2 + 3*a1 - 3, -3*a1^3 + 4*a1^2 + 8*a1 - 5)"	"x^4 - 3*x^3 - x^2 + 6*x - 1"
"14a1"	14	98	2	8	"(1, a1 - 1, -2*a1 + 2, 0, -2, 0)"	"x^2 - 2*x - 1"
"101a1"	101	101	2	1124401088	"(a1, 1/4*a1^6 + 1/4*a1^5 - 5/2*a1^4 - 5/2*a1^3 + 19/4*a1^2 + 17/4*a1 + 1/2, -1/2*a1^6 - 3/4*a1^5 + 11/2*a1^4 + 7*a1^3 - 29/2*a1^2 - 45/4*a1 + 15/2, -1/4*a1^5 - 1/2*a1^4 + 5/2*a1^3 + 4*a1^2 - 21/4*a1 - 7/2, -1/4*a1^6 + 3*a1^4 - 35/4*a1^2 + 5, 3/4*a1^6 + a1^5 - 17/2*a1^4 - 9*a1^3 + 91/4*a1^2 + 12*a1 - 10)"	"x^7 - 13*x^5 + 2*x^4 + 47*x^3 - 16*x^2 - 43*x + 14"
"14a1"	14	104	2	17	"(0, a1, -a1 + 2, -a1, -2*a1, 1)"	"x^2 - x - 4"
"26a1"	26	104	2	17	"(0, a1, -a1 + 2, -a1, -2*a1, 1)"	"x^2 - x - 4"
"214c1"	214	107	2	890531404	"(a1, -1/4*a1^6 - 1/4*a1^5 + 5/2*a1^4 + 3/4*a1^3 - 29/4*a1^2 + 2*a1 + 4, 1/2*a1^6 + 1/2*a1^5 - 4*a1^4 - 5/2*a1^3 + 15/2*a1^2 + a1, -1/2*a1^6 - 1/2*a1^5 + 4*a1^4 + 7/2*a1^3 - 15/2*a1^2 - 6*a1 + 2, 1/2*a1^5 - 1/2*a1^4 - 4*a1^3 + 5/2*a1^2 + 11/2*a1, 1/2*a1^6 - 11/2*a1^4 + 1/2*a1^3 + 17*a1^2 - 7/2*a1 - 8)"	"x^7 + x^6 - 10*x^5 - 7*x^4 + 29*x^3 + 12*x^2 - 20*x - 8"
"109a1"	109	109	2	7537	"(a2, -a2^3 + 4*a2 + 1, -a2, a2^3 - a2^2 - 4*a2 + 2, a2^3 + a2^2 - 5*a2, 2*a2^2 + a2 - 7)"	"x^4 + x^3 - 5*x^2 - 4*x + 3"
"14a1"	14	110	2	33	"(-1, -1/2*a3 - 1/2, 1, 1/2*a3 + 1/2, -1, 2)"	"x^2 - 33"
"110a1"	110	110	2	33	"(-1, -1/2*a3 - 1/2, 1, 1/2*a3 + 1/2, -1, 2)"	"x^2 - 33"
"14a1"	14	111	2	148	"(a0, -1, -a0^2 + 5, -2*a0^2 + 2*a0 + 4, 2*a0^2 - 4*a0 - 2, 2*a0^2 - 4*a0 - 4)"	"x^3 - 3*x^2 - x + 5"
"14a1"	14	111	2	6224	"(a1, 1, -a1^3 - 2*a1^2 + 3*a1 + 4, 2*a1^3 + 2*a1^2 - 8*a1 - 2, 2*a1^2 - 6, -2*a1^3 - 4*a1^2 + 6*a1 + 10)"	"x^4 - 6*x^2 + 2*x + 5"
"14a1"	14	113	2	12	"(1, a1 - 1, -2*a1 + 4, 4, -2*a1 + 2, 2*a1 - 6)"	"x^2 - 4*x + 1"
"14a1"	14	115	2	15317	"(a2, -a2^2 + a2 + 2, 1, a2^3 - 2*a2^2 - 4*a2 + 3, -2*a2 + 2, -2*a2^3 + 3*a2^2 + 7*a2 - 4)"	"x^4 - 2*x^3 - 4*x^2 + 5*x + 2"
"115a1"	115	115	2	15317	"(a2, -a2^2 + a2 + 2, 1, a2^3 - 2*a2^2 - 4*a2 + 3, -2*a2 + 2, -2*a2^3 + 3*a2^2 + 7*a2 - 4)"	"x^4 - 2*x^3 - 4*x^2 + 5*x + 2"
"14a1"	14	117	2	8	"(a2, 0, -2*a2 + 2, -2*a2 + 2, 2, -1)"	"x^2 - 2*x - 1"
"14a1"	14	117	2	12	"(a1, 0, 0, 2, -2*a1, 1)"	"x^2 - 3"
"14a1"	14	119	2	453749	"(a1, -a1^4 + 6*a1^2 + a1 - 4, 2*a1^4 + a1^3 - 15*a1^2 - 6*a1 + 18, -1, -2*a1^4 - 2*a1^3 + 14*a1^2 + 12*a1 - 14, -2*a1^4 + 14*a1^2 - 14)"	"x^5 - 2*x^4 - 8*x^3 + 14*x^2 + 14*x - 17"
"61a1"	61	122	2	229	"(1, 1/2*a2 - 1/2, -1/4*a2^2 - a2 + 17/4, 1/2*a2^2 + 1/2*a2 - 6, -1/4*a2^2 + 5/4, -1/4*a2^2 + 13/4)"	"x^3 - x^2 - 21*x + 37"
"14a1"	14	123	2	316	"(a3, -1, -a3^2 + a3 + 4, -a3^2 - a3 + 4, -a3 - 1, a3^2 - a3)"	"x^3 - x^2 - 4*x + 2"
"123a1"	123	123	2	8	"(a2, 1, -a2 + 2, a2 - 2, -a2 + 1, -3*a2 + 2)"	"x^2 - 2"
"123a1"	123	123	2	316	"(a3, -1, -a3^2 + a3 + 4, -a3^2 - a3 + 4, -a3 - 1, a3^2 - a3)"	"x^3 - x^2 - 4*x + 2"
"43a1"	43	129	2	568	"(a3, 1, -a3 - 2, -a3^2 + 6, a3^2 - a3 - 5, 3)"	"x^3 + 2*x^2 - 5*x - 8"
"258a1"	258	129	2	8	"(a2, -1, -a2 + 2, -2*a2 + 3, -a2 + 4, -5)"	"x^2 - 2*x - 1"
"258a1"	258	129	2	568	"(a3, 1, -a3 - 2, -a3^2 + 6, a3^2 - a3 - 5, 3)"	"x^3 + 2*x^2 - 5*x - 8"
"131a1"	131	131	2	2.23E+015	"(a1, 1/8*a1^8 - 2*a1^6 + 81/8*a1^4 - 67/4*a1^2 + 5, -1/16*a1^9 + 9/8*a1^7 + 1/8*a1^6 - 107/16*a1^5 - 9/8*a1^4 + 117/8*a1^3 + 7/4*a1^2 - 9*a1 + 1, -1/8*a1^9 - 1/4*a1^8 + 7/4*a1^7 + 7/2*a1^6 - 57/8*a1^5 - 63/4*a1^4 + 11/2*a1^3 + 47/2*a1^2 + 15/2*a1 - 3, -1/16*a1^9 + 9/8*a1^7 - 3/8*a1^6 - 107/16*a1^5 + 31/8*a1^4 + 117/8*a1^3 - 35/4*a1^2 - 11*a1 + 2, 1/16*a1^9 + 1/8*a1^8 - 7/8*a1^7 - 15/8*a1^6 + 55/16*a1^5 + 17/2*a1^4 - 17/8*a1^3 - 21/2*a1^2 - 5*a1 + 1)"	"x^10 - 18*x^8 + 2*x^7 + 111*x^6 - 18*x^5 - 270*x^4 + 28*x^3 + 232*x^2 + 16*x - 32"
"14a1"	14	133	2	229	"(a3, -a3^2 + 5, a3^2 - a3 - 4, -1, -a3 + 3, a3^2 - a3 - 4)"	"x^3 - 2*x^2 - 4*x + 7"
"14a1"	14	137	2	1435966564	"(a1, -1/2*a1^6 + 1/2*a1^5 + 11/2*a1^4 - 9/2*a1^3 - 33/2*a1^2 + 9*a1 + 21/2, a1^6 - a1^5 - 10*a1^4 + 8*a1^3 + 26*a1^2 - 13*a1 - 13, -a1^6 + 9*a1^4 - a1^3 - 21*a1^2 + 3*a1 + 11, 2*a1^6 - a1^5 - 19*a1^4 + 10*a1^3 + 47*a1^2 - 21*a1 - 22, a1^6 - 9*a1^4 + 2*a1^3 + 22*a1^2 - 8*a1 - 10)"	"x^7 - 10*x^5 + 28*x^3 + 3*x^2 - 19*x - 7"
"139a1"	139	139	2	2145245897	"(a2, 1/2*a2^6 - 1/2*a2^5 - 9/2*a2^4 + 4*a2^3 + 19/2*a2^2 - 6*a2 - 4, -1/4*a2^6 - 1/4*a2^5 + 9/4*a2^4 + 3/2*a2^3 - 19/4*a2^2 - a2 + 3, -1/4*a2^6 + 1/4*a2^5 + 11/4*a2^4 - 2*a2^3 - 35/4*a2^2 + 7/2*a2 + 6, -1/2*a2^6 + a2^5 + 5*a2^4 - 17/2*a2^3 - 25/2*a2^2 + 27/2*a2 + 7, 1/2*a2^5 + 1/2*a2^4 - 9/2*a2^3 - 4*a2^2 + 17/2*a2 + 7)"	"x^7 - x^6 - 11*x^5 + 8*x^4 + 35*x^3 - 10*x^2 - 32*x - 8"
"14a1"	14	141	2	17	"(a5, -1, a5 + 1, a5 + 1, -a5 + 3, -2*a5 - 4)"	"x^2 + x - 4"
"141a1"	141	141	2	17	"(a5, -1, a5 + 1, a5 + 1, -a5 + 3, -2*a5 - 4)"	"x^2 + x - 4"
"11a1"	11	143	2	194616205	"(a2, -a2^5 - a2^4 + 8*a2^3 + 6*a2^2 - 11*a2 - 5, a2^5 + 2*a2^4 - 8*a2^3 - 14*a2^2 + 12*a2 + 15, 2*a2^5 + 2*a2^4 - 17*a2^3 - 13*a2^2 + 26*a2 + 14, -1, 1)"	"x^6 - 10*x^4 + 2*x^3 + 24*x^2 - 7*x - 12"
"14a1"	14	143	2	194616205	"(a2, -a2^5 - a2^4 + 8*a2^3 + 6*a2^2 - 11*a2 - 5, a2^5 + 2*a2^4 - 8*a2^3 - 14*a2^2 + 12*a2 + 15, 2*a2^5 + 2*a2^4 - 17*a2^3 - 13*a2^2 + 26*a2 + 14, -1, 1)"	"x^6 - 10*x^4 + 2*x^3 + 24*x^2 - 7*x - 12"
"14a1"	14	145	2	148	"(a2, -a2^2 + 3, 1, a2^2 - 1, a2^2 - 2*a2 - 1, -2*a2)"	"x^3 - x^2 - 3*x + 1"
"14a1"	14	145	2	8	"(a1, -2, 1, -2*a1 - 4, 2*a1, -2)"	"x^2 + 2*x - 1"
"14a1"	14	145	2	148	"(a3, -a3^2 + 2*a3 + 1, -1, -a3^2 + 3, a3^2 - 2*a3 + 1, 2*a3 - 4)"	"x^3 - 3*x^2 - x + 5"
"14a1"	14	146	2	404	"(-1, -1/2*a0 - 1/2, -1/8*a0^2 - 1/4*a0 + 15/8, 1/8*a0^2 + 1/4*a0 + 1/8, -1/4*a0^2 + 1/2*a0 + 27/4, -1/8*a0^2 - 1/4*a0 + 31/8)"	"x^3 + 3*x^2 - 29*x - 63"
"14a1"	14	146	2	6224	"(1, -a1 + 1, 1/2*a1^3 - 2*a1^2 + 1/2*a1 + 2, -a1^3 + 7/2*a1^2 + 3*a1 - 9/2, a1^2 - 2*a1 - 3, -3/2*a1^2 + 4*a1 + 5/2)"	"x^4 - 4*x^3 - 2*x^2 + 8*x + 1"
"14a1"	14	147	2	8	"(a3, -1, -a3 - 3, 0, -2, a3 - 3)"	"x^2 + 2*x - 1"
"14a1"	14	147	2	8	"(a4, 1, a4 + 3, 0, -2, -a4 + 3)"	"x^2 + 2*x - 1"
"14a1"	14	148	2	17	"(0, 1/2*a1, 2, -1/2*a1, -1/2*a1, 2)"	"x^2 + 2*x - 16"
"37a1"	37	148	2	17	"(0, 1/2*a1, 2, -1/2*a1, -1/2*a1, 2)"	"x^2 + 2*x - 16"
"14a1"	14	152	2	961	"(0, 1/2*a2, -1/8*a2^2 - 1/4*a2 + 4, 1/8*a2^2 - 1/4*a2 - 2, -1/8*a2^2 - 1/4*a2 + 2, -1/2*a2 + 2)"	"x^3 - 2*x^2 - 40*x + 64"
"19a1"	19	152	2	961	"(0, 1/2*a2, -1/8*a2^2 - 1/4*a2 + 4, 1/8*a2^2 - 1/4*a2 - 2, -1/8*a2^2 - 1/4*a2 + 2, -1/2*a2 + 2)"	"x^3 - 2*x^2 - 40*x + 64"
"38a1"	38	152	2	961	"(0, 1/2*a2, -1/8*a2^2 - 1/4*a2 + 4, 1/8*a2^2 - 1/4*a2 - 2, -1/8*a2^2 - 1/4*a2 + 2, -1/2*a2 + 2)"	"x^3 - 2*x^2 - 40*x + 64"
"14a1"	14	153	2	17	"(a4, 0, -a4 - 1, 0, -a4 + 1, -a4 + 3)"	"x^2 - x - 4"
"51a1"	51	153	2	17	"(a4, 0, -a4 - 1, 0, -a4 + 1, -a4 + 3)"	"x^2 - x - 4"
"14a1"	14	155	2	8468	"(a4, -1/2*a4^3 + 1/2*a4^2 + 2*a4 - 1, 1, -a4^2 - a4 + 4, -a4^2 + a4 + 2, a4^3 - 5*a4 + 2)"	"x^4 - x^3 - 6*x^2 + 4*x + 4"
"14a1"	14	155	2	20308	"(a3, -1/2*a3^3 - 1/2*a3^2 + 3*a3 + 1, -1, a3^2 + a3 - 4, a3^2 - a3 - 6, -a3^2 - a3 + 8)"	"x^4 + x^3 - 8*x^2 - 4*x + 12"
"155a1"	155	155	2	8468	"(a4, -1/2*a4^3 + 1/2*a4^2 + 2*a4 - 1, 1, -a4^2 - a4 + 4, -a4^2 + a4 + 2, a4^3 - 5*a4 + 2)"	"x^4 - x^3 - 6*x^2 + 4*x + 4"
"155a1"	155	155	2	20308	"(a3, -1/2*a3^3 - 1/2*a3^2 + 3*a3 + 1, -1, a3^2 + a3 - 4, a3^2 - a3 - 6, -a3^2 - a3 + 8)"	"x^4 + x^3 - 8*x^2 - 4*x + 12"
"314a1"	314	157	2	390366232	"(a1, a1^4 - 3*a1^3 - 2*a1^2 + 7*a1 + 1, a1^6 - 4*a1^5 - 2*a1^4 + 18*a1^3 - 2*a1^2 - 20*a1 + 3, -a1^6 + 3*a1^5 + 4*a1^4 - 13*a1^3 - 5*a1^2 + 13*a1 + 2, -a1^6 + 4*a1^5 + a1^4 - 15*a1^3 + 3*a1^2 + 13*a1 + 1, a1^6 - 3*a1^5 - 5*a1^4 + 17*a1^3 + 4*a1^2 - 22*a1 + 3)"	"x^7 - 5*x^6 + 2*x^5 + 21*x^4 - 22*x^3 - 21*x^2 + 27*x - 1"
"14a1"	14	158	2	24	"(-1, -1/2*a5 - 1/2, -2, 4, 0, a5 + 3)"	"x^2 + 2*x - 23"
"14a1"	14	159	2	1054013	"(a1, -1, -a1^3 - a1^2 + 6*a1 + 4, 1/3*a1^4 + 4/3*a1^3 - 2*a1^2 - 7*a1 + 4/3, -2/3*a1^4 - 2/3*a1^3 + 4*a1^2 + 2*a1 - 2/3, 2/3*a1^4 - 1/3*a1^3 - 5*a1^2 + 2*a1 + 20/3)"	"x^5 - 10*x^3 + 22*x + 5"
"14a1"	14	160	2	8	"(0, 1/2*a2, 1, -1/2*a2, -a2, -2)"	"x^2 - 32"
"14a1"	14	161	2	2147108	"(a3, 1/2*a3^4 - 1/2*a3^3 - 4*a3^2 + 5/2*a3 + 11/2, -1/2*a3^4 - 1/2*a3^3 + 5*a3^2 + 5/2*a3 - 21/2, 1, -a3^4 + 8*a3^2 + a3 - 12, a3^4 - 9*a3^2 + 14)"	"x^5 - 2*x^4 - 9*x^3 + 17*x^2 + 16*x - 27"
"14a1"	14	161	2	148	"(a2, -1/2*a2^2 + 5/2, -1/2*a2^2 + 5/2, -1, -a2 + 1, a2^2 - 3)"	"x^3 + x^2 - 5*x - 1"
"163a1"	163	163	2	660293912	"(a2, a2^5 - a2^4 - 6*a2^3 + 5*a2^2 + 5*a2 - 2, -a2^6 + a2^5 + 7*a2^4 - 6*a2^3 - 11*a2^2 + 6*a2 + 6, a2^6 - 2*a2^5 - 7*a2^4 + 12*a2^3 + 11*a2^2 - 11*a2 - 4, a2^6 - 2*a2^5 - 7*a2^4 + 12*a2^3 + 12*a2^2 - 12*a2 - 6, -a2^6 + a2^5 + 8*a2^4 - 6*a2^3 - 16*a2^2 + 5*a2 + 8)"	"x^7 - 3*x^6 - 5*x^5 + 19*x^4 - 23*x^2 + 4*x + 6"
"14a1"	14	164	2	25808	"(0, a0, -2/3*a0^3 - 1/3*a0^2 + 16/3*a0 + 2/3, a0^3 - 9*a0 + 4, 1/3*a0^3 + 2/3*a0^2 - 11/3*a0 - 4/3, 2/3*a0^3 - 2/3*a0^2 - 22/3*a0 + 22/3)"	"x^4 - 2*x^3 - 10*x^2 + 22*x - 2"
"14a1"	14	165	2	12	"(a1, 1, -1, 2, -1, -2*a1 + 2)"	"x^2 - 3"
"14a1"	14	165	2	148	"(a2, 1, 1, -a2^2 - 2*a2 + 3, 1, -a2^2 + 3)"	"x^3 + x^2 - 5*x - 1"
"14a1"	14	165	2	8	"(a0, -1, -1, -2*a0 - 4, -1, 4*a0 + 4)"	"x^2 + 2*x - 1"
"83a1"	83	166	2	229	"(1, 1/2*a2 - 1/2, -1/8*a2^2 + 17/8, 1/8*a2^2 - a2 - 1/8, -1/2*a2 + 5/2, -1/8*a2^2 + 1/2*a2 - 11/8)"	"x^3 - 5*x^2 - 17*x + 53"
"338a1"	338	169	2	12	"(a0, 2, -a0, 0, 0, 0)"	"x^2 - 3"
"14a1"	14	170	2	17	"(1, -a5 + 1, 1, 2*a5 - 2, -4, a5 + 1)"	"x^2 - 3*x - 2"
"170c1"	170	170	2	17	"(1, -a5 + 1, 1, 2*a5 - 2, -4, a5 + 1)"	"x^2 - 3*x - 2"
"19a1"	19	171	2	13068	"(a4, 0, -1/2*a4^3 + 5/2*a4, -a4^2 + 5, 1/2*a4^3 - 9/2*a4, 2)"	"x^4 - 9*x^2 + 12"
"43a1"	43	172	2	8	"(0, -a1, a1 + 2, a1 + 2, 2*a1 + 5, 2*a1 + 1)"	"x^2 + 4*x + 2"
"14a1"	14	175	2	17	"(a5, -a5 + 1, 0, 1, -a5 + 1, a5 - 3)"	"x^2 - x - 4"
"35a1"	35	175	2	17	"(a5, -a5 + 1, 0, 1, -a5 + 1, a5 - 3)"	"x^2 - x - 4"
"11a1"	11	176	2	17	"(0, -a3, -a3 + 2, 2*a3, 1, 2*a3 - 2)"	"x^2 - x - 4"
"14a1"	14	176	2	17	"(0, -a3, -a3 + 2, 2*a3, 1, 2*a3 - 2)"	"x^2 - x - 4"
"14a1"	14	177	2	229	"(a3, -1, -a3^2 + a3 + 2, a3 + 3, -a3^2 - a3 + 2, -a3^2 - a3 + 4)"	"x^3 - 4*x - 1"
"14a1"	14	178	2	568	"(1, -1/2*a3 + 1/2, 1/2*a3 - 1/2, -1/8*a3^2 + 1/2*a3 + 21/8, 2, 1/8*a3^2 + 1/2*a3 - 29/8)"	"x^3 - x^2 - 33*x + 1"
"89a1"	89	178	2	568	"(1, -1/2*a3 + 1/2, 1/2*a3 - 1/2, -1/8*a3^2 + 1/2*a3 + 21/8, 2, 1/8*a3^2 + 1/2*a3 - 29/8)"	"x^3 - x^2 - 33*x + 1"
"89a1"	89	178	2	8	"(-1, a2 + 1, -2*a2 - 5, -2, 2*a2 + 2, -2)"	"x^2 + 4*x + 2"
"14a1"	14	183	2	148	"(a1, -1, 2, -2*a1^2 + 2*a1 + 4, -a1^2 + 3, 2*a1^2 - 2*a1 - 2)"	"x^3 - x^2 - 3*x + 1"
"14a1"	14	183	2	91407488	"(a2, 1, 1/2*a2^5 + a2^4 - 5*a2^3 - 8*a2^2 + 21/2*a2 + 10, -a2^5 - 3/2*a2^4 + 9*a2^3 + 11*a2^2 - 17*a2 - 23/2, -1/2*a2^4 + 3*a2^2 - a2 - 5/2, -1/2*a2^5 + 5*a2^3 - 21/2*a2 + 1)"	"x^6 - 11*x^4 + 2*x^3 + 31*x^2 - 10*x - 17"
"61a1"	61	183	2	91407488	"(a2, 1, 1/2*a2^5 + a2^4 - 5*a2^3 - 8*a2^2 + 21/2*a2 + 10, -a2^5 - 3/2*a2^4 + 9*a2^3 + 11*a2^2 - 17*a2 - 23/2, -1/2*a2^4 + 3*a2^2 - a2 - 5/2, -1/2*a2^5 + 5*a2^3 - 21/2*a2 + 1)"	"x^6 - 11*x^4 + 2*x^3 + 31*x^2 - 10*x - 17"
"61a1"	61	183	2	8	"(a0, -1, -1, -a0 - 2, -a0 - 2, -3)"	"x^2 + 2*x - 1"
"14a1"	14	184	2	17	"(0, a4, 2, 0, -2*a4, -a4 + 2)"	"x^2 + x - 4"
"92a1"	92	184	2	17	"(0, a4, 2, 0, -2*a4, -a4 + 2)"	"x^2 + x - 4"
"14a1"	14	185	2	368464	"(a3, -1/2*a3^4 + 7/2*a3^2 - a3 - 3, 1, -1/2*a3^3 - a3^2 + 5/2*a3 + 4, a3^4 + a3^3 - 6*a3^2 - 3*a3 + 5, -1/2*a3^4 - 1/2*a3^3 + 7/2*a3^2 + 1/2*a3 - 3)"	"x^5 - 8*x^3 + 2*x^2 + 11*x - 2"
"14a1"	14	185	2	973904	"(a4, -1/2*a4^3 + 5/2*a4 + 1, -1, 1/2*a4^4 - 7/2*a4^2 - a4 + 5, -a4^2 + 3, -1/2*a4^4 + 1/2*a4^3 + 5/2*a4^2 - 5/2*a4 + 2)"	"x^5 - 2*x^4 - 8*x^3 + 14*x^2 + 11*x - 12"
"37a1"	37	185	2	368464	"(a3, -1/2*a3^4 + 7/2*a3^2 - a3 - 3, 1, -1/2*a3^3 - a3^2 + 5/2*a3 + 4, a3^4 + a3^3 - 6*a3^2 - 3*a3 + 5, -1/2*a3^4 - 1/2*a3^3 + 7/2*a3^2 + 1/2*a3 - 3)"	"x^5 - 8*x^3 + 2*x^2 + 11*x - 2"
"37a1"	37	185	2	973904	"(a4, -1/2*a4^3 + 5/2*a4 + 1, -1, 1/2*a4^4 - 7/2*a4^2 - a4 + 5, -a4^2 + 3, -1/2*a4^4 + 1/2*a4^3 + 5/2*a4^2 - 5/2*a4 + 2)"	"x^5 - 2*x^4 - 8*x^3 + 14*x^2 + 11*x - 12"
